##[["GX taxonomy analysis report", 3, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Sat Oct 11 22:07:47 2025", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.523371, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "genome-hash": "5d500aa9f0d02343"}}]
#seq-id	seq-len	(xp,lc,co,n,mt,pt,pm)-len	cvg-by-all	sep1	tax-name-1	tax-id-1	div-1	cvg-by-div-1	cvg-by-tax-1	score-1	sep2	tax-id-2	div-2	cvg-by-div-2	cvg-by-tax-2	score-2	sep3	tax-id-3	div-3	cvg-by-div-3	cvg-by-tax-3	score-3	sep4	tax-id-4	div-4	cvg-by-div-4	cvg-by-tax-4	score-4	sep5	reserved	result	div	div_pct_cvg
ptg000001l	3462369	826660,207735,760,0,0,0,0	1688920	|	Teleogryllus occipitalis	470939	anml:insects	1582835	1543845	3445	|	105785	anml:insects	1582835	15783	198	|	6728	anml:crustaceans	33079	14237	132	|	6687	anml:crustaceans	33079	6580	121	|	n/a	primary-div	anml:insects	46
ptg000002l	5846664	1250822,333672,2360,0,0,0,0	3616499	|	Teleogryllus occipitalis	470939	anml:insects	3475816	3431927	6113	|	431949	anml:insects	3475816	20899	258	|	13397	anml:fishes	91968	24531	180	|	6706	anml:crustaceans	76317	20887	161	|	n/a	primary-div	anml:insects	59
ptg000003l	17615811	3646782,986812,14000,0,0,0,0	10208961	|	Teleogryllus occipitalis	470939	anml:insects	9745003	9570739	9969	|	431949	anml:insects	9745003	67477	476	|	6728	anml:crustaceans	200817	61260	289	|	6706	anml:crustaceans	200817	52402	276	|	n/a	primary-div	anml:insects	55
ptg000004l	6913097	1302352,412326,2900,0,0,0,0	3674740	|	Teleogryllus occipitalis	470939	anml:insects	3523565	3427715	5628	|	136037	anml:insects	3523565	61680	419	|	95602	anml:crustaceans	52088	13241	165	|	8030	anml:fishes	83914	19696	157	|	n/a	primary-div	anml:insects	51
ptg000005l	6694691	1190069,308103,5080,0,0,0,0	4025055	|	Teleogryllus occipitalis	470939	anml:insects	3837533	3777156	5809	|	105785	anml:insects	3837533	26725	310	|	13397	anml:fishes	123200	27826	197	|	6706	anml:crustaceans	81585	19551	182	|	n/a	primary-div	anml:insects	57
ptg000006l	11048742	2767372,713186,16000,0,0,0,0	5876208	|	Teleogryllus occipitalis	470939	anml:insects	5523913	5419860	6894	|	431949	anml:insects	5523913	31476	302	|	6728	anml:crustaceans	139372	37796	269	|	6706	anml:crustaceans	139372	38132	233	|	n/a	primary-div	anml:insects	50
ptg000007l	4505748	825753,281191,17480,0,0,0,0	2662594	|	Teleogryllus occipitalis	470939	anml:insects	2549424	2476701	5115	|	136037	anml:insects	2549424	76075	505	|	41117	anml:crustaceans	107395	17658	327	|	1232801	anml:crustaceans	107395	15846	261	|	n/a	primary-div	anml:insects	57
ptg000008l	2333485	927492,84946,400,0,0,0,0	831000	|	Teleogryllus occipitalis	470939	anml:insects	748873	706811	2437	|	202533	anml:insects	748873	4245	213	|	6706	anml:crustaceans	11361	5172	99	|	37623	anml:molluscs	16590	2028	82	|	n/a	repeat	anml:insects	32
ptg000009l	8781764	1767750,579935,7380,0,0,0,0	5188392	|	Teleogryllus occipitalis	470939	anml:insects	4955659	4886122	6993	|	136037	anml:insects	4955659	42190	391	|	13397	anml:fishes	134229	36736	240	|	6728	anml:crustaceans	95479	34139	227	|	n/a	primary-div	anml:insects	56
ptg000010l	7389283	1889265,645621,4400,0,0,0,0	3887477	|	Teleogryllus occipitalis	470939	anml:insects	3653308	3580716	5751	|	431949	anml:insects	3653308	28101	285	|	13397	anml:fishes	110844	41850	234	|	6706	anml:crustaceans	89674	24451	180	|	n/a	primary-div	anml:insects	49
