##[["FCS genome report", 2, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Sat Oct 11 22:07:47 2025", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.523371, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "genome-hash": "5d500aa9f0d02343"}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
ptg000055l	3175755	3179198	7372523	INFO	prok:a-proteobacteria	88	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000187l	1	36651	36651	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Spodoptera picta
ptg000188l	1	63522	63522	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000189l	1	41837	41837	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000190l	1	28932	28932	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000191l	1	34840	34840	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000192l	1	33818	33818	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000193l	1	33186	33186	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000194l	1	33840	33840	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000195l	1	41647	41647	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000292l	1	66498	66498	EXCLUDE	prok:b-proteobacteria	100	Delftia acidovorans
ptg000293l	1691314	1694534	4003219	INFO	prok:a-proteobacteria	100	Wolbachia endosymbiont of Cylisticus convexus
ptg000293l	1696814	1699540	4003219	INFO	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000300l	1	23957	23957	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Diaphorina citri
ptg000301l	1	33911	33911	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000302l	1	45452	45452	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nilaparvata lugens
ptg000303l	1	86247	86247	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000304l	1	36737	36737	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000305l	1	37461	37461	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nilaparvata lugens
ptg000306l	1	29207	29207	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000307l	1	46142	46142	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Nilaparvata lugens
ptg000308l	1	30336	30336	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Diaphorina citri
ptg000309l	1	42230	42230	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000342l	1	40716	40716	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000343l	1	38138	38138	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000344l	1	56027	56027	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000345l	1	68033	68033	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000346l	1	34004	34004	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000347l	1	49003	49003	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000348l	1	31024	31024	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000349l	1	29695	29695	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000350l	1	66933	66933	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000351l	1	36682	36682	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000352l	1	28187	28187	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000360l	1	2199968	2199968	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000361l	1	37351	37351	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000362l	1	49024	49024	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000363l	1	36043	36043	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000364l	1	57104	57104	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000365l	1	32506	32506	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000366l	1	56457	56457	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000367l	1	51658	51658	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000374l	1	62380	62380	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000375l	1	43070	43070	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000376l	1	54225	54225	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000377l	1	35987	35987	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000378l	1	32545	32545	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000379l	1	33768	33768	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000380l	1	38040	38040	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000381l	1	43657	43657	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Homalodisca vitripennis
ptg000382l	1	63455	63455	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
ptg000387l	1	33837	33837	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000416l	1	62113	62113	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000417l	1	46532	46532	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont (group B) of Eucosma cana
ptg000418l	1	51630	51630	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000419l	1	33295	33295	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Ischnura elegans
ptg000420l	1	52084	52084	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Melanostoma mellinum
ptg000433l	1	35211	35211	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000434l	1	48863	48863	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000435l	1	36396	36396	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000436l	1	25387	25387	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000437l	1	46534	46534	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000438l	1	50893	50893	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000439l	1	35946	35946	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000440l	1	29623	29623	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Anopheles demeilloni
ptg000441l	1	22452	22452	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000442l	1	44708	44708	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000443l	1	46618	46618	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000476l	1	35166	35166	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Phalera bucephala
ptg000477l	1	38987	38987	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000478l	1	53644	53644	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000479l	1	30389	30389	EXCLUDE	prok:a-proteobacteria	97	Wolbachia endosymbiont of Tribolium confusum
ptg000480l	1	26775	26775	EXCLUDE	prok:a-proteobacteria	92	Wolbachia endosymbiont of Tribolium confusum
ptg000481l	1	28676	28676	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000482l	1	28317	28317	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000483l	1	25394	25394	EXCLUDE	prok:a-proteobacteria	93	Wolbachia endosymbiont of Tribolium confusum
ptg000484l	1	56459	56459	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000485l	1	36863	36863	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000486l	1	52349	52349	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Erebia ligea
ptg000538l	1	31096	31096	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Drosophila mauritiana
ptg000539l	1	28282	28282	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Spodoptera picta
ptg000540l	1	34826	34826	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Chorthippus parallelus
ptg000541l	1	23602	23602	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Diaphorina citri
ptg000542l	1	37661	37661	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Tribolium confusum
ptg000543l	1	35716	35716	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000544l	1	29198	29198	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont of Diaphorina citri
ptg000545l	1	28086	28086	EXCLUDE	prok:a-proteobacteria	96	Wolbachia endosymbiont of Tribolium confusum
ptg000546l	1	62967	62967	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000547l	1	37182	37182	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Tribolium confusum
ptg000548l	1	37366	37366	EXCLUDE	prok:a-proteobacteria	98	Wolbachia endosymbiont of Spodoptera picta
ptg000550l	1	42051	42051	EXCLUDE	prok:a-proteobacteria	100	Wolbachia endosymbiont (group B) of Agriphila straminella
