##[["GX taxonomy analysis report", 3, 1], {"git-rev": "v0.5.5-9-gfc836c1", "run-date": "Sat Oct 11 22:05:31 2025", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.50219, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "genome-hash": "123b9128e3414282"}}]
#seq-id	seq-len	(xp,lc,co,n,mt,pt,pm)-len	cvg-by-all	sep1	tax-name-1	tax-id-1	div-1	cvg-by-div-1	cvg-by-tax-1	score-1	sep2	tax-id-2	div-2	cvg-by-div-2	cvg-by-tax-2	score-2	sep3	tax-id-3	div-3	cvg-by-div-3	cvg-by-tax-3	score-3	sep4	tax-id-4	div-4	cvg-by-div-4	cvg-by-tax-4	score-4	sep5	reserved	result	div	div_pct_cvg
ptg000001l	4213575	1030905,222169,3400,0,0,0,0	2008714	|	Teleogryllus occipitalis	470939	anml:insects	1859637	1802455	3917	|	108931	anml:insects	1859637	10522	344	|	6706	anml:crustaceans	37884	11623	167	|	8030	anml:fishes	51860	16076	149	|	n/a	primary-div	anml:insects	44
ptg000002l~~1..169361	169361	43123,6389,0,0,0,0,0	91206	|	Teleogryllus occipitalis	470939	anml:insects	88749	85445	904	|	189513	anml:insects	88749	5347	103	|	6565	anml:molluscs	2615	2615	56	|	99487	anml:mammals	1483	1483	42	|	n/a	primary-div	anml:insects	52
ptg000002l~~169362..171498	2137	0,0,0,0,0,0,0	1517	|	Elephas maximus	99487	anml:mammals	1517	1517	63	|						|						|						|	n/a	inconclusive	anml:mammals	71
ptg000002l~~171499..28910404	28738906	7189510,1122032,17300,0,0,0,0	16571276	|	Teleogryllus occipitalis	470939	anml:insects	15900294	15541245	12966	|	431949	anml:insects	15900294	127501	799	|	13397	anml:fishes	424541	111677	378	|	6706	anml:crustaceans	333194	77335	348	|	n/a	primary-div	anml:insects	55
ptg000003l	2507758	761505,127675,2480,0,0,0,0	1117226	|	Teleogryllus occipitalis	470939	anml:insects	1029070	1002856	2727	|	431949	anml:insects	1029070	11522	194	|	27405	anml:crustaceans	27855	8273	149	|	2944695	fung:ascomycetes	24095	9754	108	|	n/a	primary-div	anml:insects	41
ptg000004l	1315151	265925,125354,2020,0,0,0,0	841847	|	Teleogryllus occipitalis	470939	anml:insects	801377	794681	2801	|	6687	anml:crustaceans	29664	5634	114	|	95602	anml:crustaceans	29664	8350	103	|	6454	anml:molluscs	14656	4244	81	|	n/a	primary-div	anml:insects	61
ptg000005l	2519811	424637,169869,2500,0,0,0,0	1613007	|	Teleogryllus occipitalis	470939	anml:insects	1544575	1513300	4175	|	170555	anml:insects	1544575	17611	241	|	27405	anml:crustaceans	36836	6819	157	|	95602	anml:crustaceans	36836	9867	137	|	n/a	primary-div	anml:insects	61
ptg000006l	2965185	629402,218199,7500,0,0,0,0	1504829	|	Teleogryllus occipitalis	470939	anml:insects	1397833	1356715	3490	|	105785	anml:insects	1397833	20334	247	|	6728	anml:crustaceans	35026	11203	149	|	6549	anml:molluscs	44328	7416	139	|	n/a	primary-div	anml:insects	47
ptg000007l	1881120	315202,124030,4020,0,0,0,0	1161693	|	Teleogryllus occipitalis	470939	anml:insects	1118917	1089388	3377	|	136037	anml:insects	1118917	38736	361	|	96803	anml:crustaceans	36385	11449	198	|	95602	anml:crustaceans	36385	10840	161	|	n/a	primary-div	anml:insects	59
ptg000008l	3487026	744644,248470,2020,0,0,0,0	1989799	|	Teleogryllus occipitalis	470939	anml:insects	1872597	1839371	4090	|	431949	anml:insects	1872597	13637	209	|	13397	anml:fishes	59708	19558	161	|	6728	anml:crustaceans	48714	18351	160	|	n/a	primary-div	anml:insects	54
ptg000009l~~1..4510247	4510247	895147,150377,1940,0,0,0,0	3018101	|	Teleogryllus occipitalis	470939	anml:insects	2933465	2872598	5819	|	105785	anml:insects	2933465	39438	356	|	27405	anml:crustaceans	33136	9721	143	|	6728	anml:crustaceans	33136	11912	136	|	n/a	primary-div	anml:insects	65
ptg000009l~~4510248..4512521	2274	517,0,100,0,0,0,0	1807	|	Wolbachia endosymbiont (group A) of Apoderus coryli	2953980	prok:a-proteobacteria	1335	799	36	|	2983909	prst:protists	643	643	32	|	2953972	prok:a-proteobacteria	1335	496	29	|	416441	fung:basidiomycetes	923	429	26	|	n/a	inconclusive	prok:a-proteobacteria	59
ptg000009l~~4512522..6743652	2231131	497045,85322,0,0,0,0,0	1456123	|	Teleogryllus occipitalis	470939	anml:insects	1418451	1402882	4557	|	431949	anml:insects	1418451	7150	182	|	35525	anml:crustaceans	19161	5319	107	|	6728	anml:crustaceans	19161	7221	99	|	n/a	primary-div	anml:insects	64
ptg000010l	2337898	380043,120562,1120,0,0,0,0	1487734	|	Teleogryllus occipitalis	470939	anml:insects	1432481	1409727	3971	|	105785	anml:insects	1432481	40358	345	|	6669	anml:crustaceans	55418	19077	192	|	35525	anml:crustaceans	55418	15626	177	|	n/a	primary-div	anml:insects	61
ptg000011l	2593636	581960,121869,2580,0,0,0,0	1497847	|	Teleogryllus occipitalis	470939	anml:insects	1451142	1407523	4117	|	136037	anml:insects	1451142	28397	298	|	8030	anml:fishes	28464	12954	133	|	96803	anml:crustaceans	20326	7647	131	|	n/a	primary-div	anml:insects	56
ptg000012l	2450888	534943,122946,2660,0,0,0,0	1340710	|	Teleogryllus occipitalis	470939	anml:insects	1277864	1248567	3405	|	431949	anml:insects	1277864	7593	157	|	6687	anml:crustaceans	43958	15087	145	|	6706	anml:crustaceans	43958	13380	140	|	n/a	primary-div	anml:insects	52
ptg000013l	202231	145137,11193,0,0,0,0,0	27277	|	Teleogryllus occipitalis	470939	anml:insects	11786	11786	259	|	1868482	anml:primates	4741	4741	78	|	31033	anml:fishes	3052	3052	77	|	8496	anml:reptiles	2770	2770	59	|	n/a	repeat	anml:insects	6
ptg000014l	3078194	1106699,152210,260,0,0,0,0	1500754	|	Teleogryllus occipitalis	470939	anml:insects	1433414	1396025	3784	|	105785	anml:insects	1433414	15306	201	|	27405	anml:crustaceans	25115	10470	149	|	27687	anml:fishes	21392	2402	97	|	n/a	primary-div	anml:insects	47
ptg000015l	5335286	1152859,394998,4260,0,0,0,0	3455124	|	Teleogryllus occipitalis	470939	anml:insects	3351930	3318756	6095	|	136037	anml:insects	3351930	20014	246	|	13397	anml:fishes	79270	16388	148	|	6579	anml:molluscs	67507	15358	141	|	n/a	primary-div	anml:insects	63
ptg000016l	1924132	896134,66358,380,0,0,0,0	641871	|	Teleogryllus occipitalis	470939	anml:insects	585859	561868	1906	|	431949	anml:insects	585859	10128	156	|	27687	anml:fishes	22911	5608	125	|	95602	anml:crustaceans	13935	8599	107	|	n/a	repeat	anml:insects	30
ptg000017l	3386676	862087,281508,3700,0,0,0,0	1817757	|	Teleogryllus occipitalis	470939	anml:insects	1730947	1686748	3990	|	431949	anml:insects	1730947	11463	231	|	95602	anml:crustaceans	57725	20249	197	|	6687	anml:crustaceans	57725	13565	162	|	n/a	primary-div	anml:insects	51
ptg000018l	7953231	1184540,438909,13180,0,0,0,0	5323309	|	Teleogryllus occipitalis	470939	anml:insects	5151299	5054869	7612	|	441921	anml:insects	5151299	17155	597	|	95602	anml:crustaceans	101281	21770	201	|	6728	anml:crustaceans	101281	19939	171	|	n/a	primary-div	anml:insects	65
ptg000019l	4470044	1018749,203116,9420,0,0,0,0	2657268	|	Teleogryllus occipitalis	470939	anml:insects	2539779	2455395	5197	|	431949	anml:insects	2539779	46337	625	|	6728	anml:crustaceans	64804	15232	171	|	95602	anml:crustaceans	64804	17466	153	|	n/a	primary-div	anml:insects	57
ptg000020l	12232887	2291109,728281,8820,0,0,0,0	7537264	|	Teleogryllus occipitalis	470939	anml:insects	7251851	7160447	8717	|	431949	anml:insects	7251851	40860	372	|	6706	anml:crustaceans	145906	43454	237	|	6728	anml:crustaceans	145906	38455	227	|	n/a	primary-div	anml:insects	59
ptg000021l~~1..7022240	7022240	1450978,326021,4480,0,0,0,0	4398052	|	Teleogryllus occipitalis	470939	anml:insects	4231234	4155157	7037	|	431949	anml:insects	4231234	32129	370	|	13397	anml:fishes	118496	30824	199	|	6728	anml:crustaceans	79387	24999	194	|	n/a	primary-div	anml:insects	60
ptg000021l~~7022241..7024247	2007	0,0,0,0,0,0,0	1290	|	Trifolium pratense	57577	plnt:plants	1244	564	24	|	22663	plnt:plants	1244	399	22	|	197043	anml:insects	212	212	15	|	104777	anml:rotifers	112	112	13	|	n/a	inconclusive	plnt:plants	62
